no,kod_masco,tajuk_pekerjaan
1246,2434-03,Jurutera Sokongan Produk
1247,2434-06,Jurutera Produk Teknologi Maklumat
1248,2434-10,Pakar Teknologi Internet-Perbankan Digital
1249,25,Profesional Teknologi Maklumat Dan Komunikasi
1250,251,Pembangun Dan Juruanalisis Perisian Dan Aplikasi
1251,2511,Juruanalisis Sistem Komputer
1252,2511-01,Juruanalisis Sistem Maklumat Pengurusan (MIS)
1253,2511-03,Perunding Java
1254,2511-05,Perunding Teknologi Maklumat
1255,2511-09,Pereka Sistem Teknologi Maklumat
1256,2511-16,Pakar Teknikal (.Net)
1257,2511-17,Perunding Java
1258,2511-23,Pakar Aplikasi JD Edwars (JDE)
1259,2511-38,Pakar Siebel
1260,2511-42,Pereka Daftar Pemindahan Level (RTL) (Teknologi Maklumat)
1261,2511-44,Jurutera Reka Bentuk (Teknologi Maklumat)
1262,2511-46,Pereka Logik (Teknologi Maklumat)
1263,2511-53,Perunding SAP (Aplikasi dan Produk Sistem)
1264,2511-57,Juruanalisis Sistem E-Dagang
1265,2511-58,Jurutera CAE (Computer-Aided Engineering )
1266,2511-59,Juruanalisis Sistem Gred 23
1267,2511-61,Juruanalisis Sistem
1268,2511-62,Juruanalisis Inovasi Teknologi
1269,2511-63,Juruanalisis Digital
1270,2511-64,Eksekutif / Pegawai Transformasi Digital
1271,2511-66,Juruanalisis Sistem (Java)
1272,2511-67,Juruanalisis Perniagaan Aplikasi dan Produk Sistem (SAP)
1273,2511-68,Pakar Service Desk
1274,2511-69,Juruanalisis Keperluan
1275,2511-70,Juruanalisis Search Engine Advertising (SEA)
1276,2511-72,Juruanalisis Pengurusan Vendor (Teknologi Maklumat)
1277,2511-74,Juruanalisis Ujian Aplikasi dan Produk Sistem (SAP)
1278,2512,Pembangun Perisian
1279,2512-01,Pembangun Perisian
1280,2512-03,Pereka Perisian
1281,2512-16,Pengaturcara Web Hypertext Preprocessor (PHP)
1282,2512-17,"Eksekutif Teknologi Maklumat -""Report Program Generator"" (RPG)"
1283,2512-18,Pembangun Lotus Notes (Teknologi Maklumat)
1284,2512-19,Arkitek Sistem Teknologi Maklumat
1285,2512-24,Pembangun Siebel
1286,2512-31,Pembangun Data Visual
1287,2512-42,Pengaturcara RPG (Role-Playing Game)
1288,2512-43,Eksekutif Sistem Maklumat
1289,2512-47,Pembangun Sistem
1290,2512-54,Pembangun Sudut
1291,2513,Pembangun Web Dan Multimedia
1292,2513-01,Pembangun Laman Web
1293,2513-02,Pembangun Internet atau Intranet
1294,2513-07,Pembangun Timbunan Penuh
1295,2513-13,Pereka Media Sosial
1296,2514,Pengaturcara Aplikasi
1297,2514-01,Pengaturcara Komputer
1298,2514-02,Pengaturcara Perisian
1299,2514-03,Pengaturcara Teknikal
1300,2514-07,Pengaturcara Sistem
1301,2514-19,Pengaturcara C atau C++
1302,2514-33,Pakar Infrastruktur Komputer
1303,2514-34,Antara Muka Pengguna (UI) atau Gameplay Coders
1304,2519,Pembangun Dan Juruanalisis Perisian Dan Aplikasi Yang Tidak Dikelaskan Di Mana-Mana
1305,2519-01,Penguji Perisian
1306,2519-02,Penguji Sistem
1307,2519-07,Jurutera Pengujian (Teknologi Maklumat)
1308,2519-09,Jurutera Jaminan Aplikasi (Teknologi Maklumat)
1309,2519-12,Arkitek Siebel Solution
1310,2519-13,Arkitek Teknikal Siebel
1311,2519-16,Juruaudit Teknologi Maklumat
1312,2519-17,Jurutera Pengujian Sistem E-Dagang
1313,2519-18,Penguji (Selenium dan Cucumber)
1314,2519-19,Pembangun .Net (DotNet) (Jaminan Kualiti)
1315,252,Profesional Pangkalan Data Dan Rangkaian
1316,2521,Pereka Dan Pentadbir Pangkalan Data
1317,2521-01,Arkitek Pangkalan Data
1318,2521-03,Pentadbir Pangkalan Data
1319,2521-05,Auditor Komputer
1320,2521-07,Jurutera Pangkalan Data Oracle
1321,2521-08,Pakar Pangkalan Data Oracle
1322,2521-12,Pakar Gudang Data
1323,2521-14,Juruanalisis Pangkalan Data Perniagaan
1324,2521-16,Pentadbir Pangkalan Data E-Dagang
1325,2521-17,Arkitek Pangkalan Data E-Dagang
1326,2521-21,Pembangun Pangkalan Data SQL
1327,2521-22,Pentadbir Pangkalan Data Oracle
1328,2522,Pentadbir Sistem Teknologi Maklumat
1329,2522-01,Pegawai Teknologi Maklumat Gred F41
1330,2522-02,Pegawai Eksekutif (Teknologi Maklumat) Gred 41
1331,2522-03,Pegawai Eksekutif (Teknologi Maklumat) Gred 9
1332,2522-04,Pegawai Eksekutif (Teknologi Maklumat) Gred L5
1333,2522-05,Pegawai Sistem Maklumat
1334,2522-08,Pegawai Sokongan Teknologi Maklumat
1335,2522-11,Eksekutif Teknologi Maklumat
1336,2522-14,Jurutera Sokongan Komputer
1337,2522-15,Pakar Teknikal Teknologi Maklumat
1338,2522-16,Pentadbir Aplikasi SAP (Aplikasi dan Produk Sistem)
1339,2522-18,Wakil Sokongan Teknikal Inbound (Teknologi Maklumat)
1340,2522-22,Arkitek Penyelesaian Pengkomputeran Awan
1341,2522-23,Pakar Billing
1342,2522-35,Jurutera Pereka Sistem (Teknologi Maklumat)
1343,2522-36,Pentadbir Sistem Teknikal
1344,2522-37,Penyelaras BIM (Pemodelan Maklumat Bangunan)
1345,2522-38,Pegawai Sistem Maklumat Geografi
1346,2522-39,Pentadbir Aplikasi Oracle
1347,2522-43,Perunding Aplikasi (Cloud)
1348,2522-47,Jurutera Sokongan Perkhidmatan
1349,2523,Profesional Rangkaian Komputer
1350,2523-01,Juruanalisis Rangkaian
1351,2523-10,Jurutera Sistem Rangkaian (Teknologi Maklumat)
1352,2523-11,Pakar Rangkaian
1353,2524,Profesional Data
1354,2524-01,Ahli Sains Data
1355,2524-02,Jurutera Data
1356,2524-03,Juruanalisis Data
1357,2524-06,Arkitek Data
1358,2524-10,Juruanalisis Data Besar
1359,2524-11,Jurutera Pembelajaran Mesin
1360,2524-13,Jurutera Kecerdasan Buatan (AI)
1361,2524-16,Juruanalisis Data Perniagaan
1362,2524-25,Penyemak Data Digital
1363,2524-26,Pakar Migrasi Data
1364,253,Profesional Keselamatan Teknologi Maklumat
1365,2531,Profesional Keselamatan Siber
1366,2531-02,Eksekutif Keselamatan Siber
1367,2531-03,Pakar Forensik Digital
1368,2531-05,Pakar Teknologi Keselamatan
1369,2531-14,Pakar Keselamatan Data
1370,2531-15,Jurutera Keselamatan (Teknologi Maklumat)
1371,2531-17,Pakar Keselamatan Siber
1372,2531-19,Pentadbir Keselamatan (Teknologi Maklumat)
1373,2531-20,Pegawai Keselamatan Maklumat
1374,2531-28,Jurutera Keselamatan Sistem
1375,2531-30,Juruanalisis Keselamatan Siber
1376,2531-31,Juruanalisis Ujian (Teknologi Maklumat)
1377,2531-36,Jurutera Infrastruktur Keselamatan
1378,2531-39,Penilai Keselamatan Internet
1379,2531-41,Perunding Keselamatan Maklumat
1380,2531-42,Perunding Keselamatan
1381,254,Profesional Kandungan Kreatif Dan Digital
1382,2541,Profesional Kesan Visual Dan Animasi
1383,2541-01,Artis Layout
1384,2541-05,Pemodel 3D
1385,2541-06,Match Move Artist/3D Tracker
1386,2541-07,Artis Pencahayaan
1387,2541-08,Render Wrangler
1388,2541-09,Artis Roto
1389,2541-10,Artis Komposit/Komposit
1390,2541-11,Artis Cerita
1391,2541-12,Penulis Skrip/Penulis Skrin
1392,2541-13,Artis Kesan/FX
1393,2541-14,Artis Grafik
1394,2541-16,Artis Digital
1395,2541-19,Artis Penerbitan Meja (Animasi)
1396,2541-20,Artis Multimedia
1397,2541-23,Animator Flash
1398,2541-26,Pakar Visual
1399,2541-27,Pakar Komputer
1400,2541-28,Penulis Kandungan Cerita
1401,2541-30,Penulis Kandungan / Pencipta
1402,2541-31,3D Generalist
1403,2541-35,Penulis / Pencipta Kandungan Digital
1404,2542,Profesional Permainan Digital Dan E-Sukan
1405,2542-01,Pereka Permainan (Digital)
1406,2542-03,Penguji QA atau Penguji Permainan (Digital)
1407,2542-04,Pengeluar Permainan (Digital)
1408,2542-06,Artis 3D
1409,2542-07,Artis 2D
1410,2542-08,Animator
1411,2542-09,Artis Konsep
1412,2542-10,Artis Teknikal
1413,2542-11,Pengarah Seni
1414,2542-15,Pengaturcara Grafik
1415,2542-16,Artis Grafik dan Bunyi Komputer
1416,2542-17,Pencipta Grafik
1417,2542-18,Ketua Artis Grafik
1418,2542-19,Artis Permainan Video
1419,2542-20,Artis Komputer Grafik (CG)
1420,2542-22,Penyelia Animasi
1421,2542-24,Artis Permainan Digital
1422,2543,Profesional Pereka Kandungan Kreatif
1423,2543-01,Pereka Web
1424,2543-02,Pereka Grafik
1425,2543-06,Pereka Penerbitan
1426,2543-08,Pereka Kreatif
1427,2543-11,Pereka Antaramuka
1428,2543-14,Pereka UX (Pengalaman Pengguna)
1429,2543-16,Pereka Digital
1430,2543-17,Ketua Pasukan Kreatif
1431,2543-18,Character Rigger
1432,2543-21,Juruanalisis Perisikan Perniagaan
1433,2543-22,Pakar Proses Perniagaan
1434,2543-24,Penyelaras Kandungan
1435,26,Profesional Perundangan
1436,261,Profesional Perundangan
1437,2611,Peguam
1438,2611-01,Pegawai Undang-Undang Gred L41
1439,2611-02,Pegawai Eksekutif (Undang-Undang) Gred 41
1440,2611-03,Pegawai Syariah Gred LS41
1441,2611-04,Pegawai Eksekutif (Perundangan) Gred 9
1442,2611-05,Pegawai Eksekutif (Perundangan) Gred L5
1443,2611-06,Pegawai Undang-Undang Perkhidmatan Kerajaan
1444,2611-08,Pendakwa
1445,2611-09,Peguam
1446,2611-19,Pegawai Eksekutif (Perundangan) Gred 48
1447,2611-20,Pakar Undang-Undang
1448,2611-22,Pegawai Undang-Undang Gred 23
1449,2612,Hakim
1450,2612-01,Hakim
1451,2612-06,Hakim Mahkamah Tinggi
1452,2612-07,Hakim Mahkamah Syariah
1453,2612-08,Hakim Mahkamah Perusahaan
1454,2612-09,Presiden Mahkamah Perusahaan
1455,2619,Profesional Perundangan Yang Tidak Dikelaskan Di Mana-Mana
1456,2619-01,Pesuruhjaya Sumpah
1457,2619-02,Pendaftar Mahkamah
1458,2619-03,Pegawai Amanah
1459,2619-04,Pemegang Amanah Raya
1460,2619-06,Pegawai Kebankrapan
1461,2619-07,Koroner
1462,2619-08,Penerima dan Penyelesai Mahkamah
1463,2619-09,Pakar Tulisan Tangan
1464,2619-10,Pendraf Parlimen
1465,2619-11,Penimbang Tara Tuntutan Insurans
1466,2619-12,Pengadil Rayuan Tuntutan Keselamatan Sosial
1467,2619-13,Setiausaha Parlimen
1468,2619-14,Penasihat Amanah
1469,2619-15,Pemerhati Pilihan Raya
1470,27,Profesional Perkhidmatan Hospitaliti Dan Yang Berkaitan
1471,271,Profesional Hotel Dan Restoran
1472,2711,Profesional Hotel
1473,2711-01,Pegawai Perkhidmatan Tetamu
1474,2711-02,Eksekutif Operasi Hotel
1475,2711-06,Eksekutif Kaunter Depan
1476,2711-07,Eksekutif Pengemasan
1477,2712,Profesional Restoran
1478,2712-01,Eksekutif Penyediaan Makanan
1479,2712-02,Pentadbir Dapur
1480,2712-03,Personel Makanan dan Minuman
1481,2712-04,Eksekutif Makanan dan Minuman
1482,2712-06,Kapten Makanan dan Minuman
1483,2712-07,Penyelaras Makanan dan Minuman
1484,2712-08,Chef de Cuisine
1485,2712-09,Jurumasak Eksekutif
1486,2712-10,Ketua Jurumasak
1487,28, Profesional Sosial Dan Kebudayaan
1488,281,"Pustakawan, Juruarkib, Dan Kurator"
1489,2811,Juruarkib Dan Kurator
1490,2811-01,Pegawai Arkib Gred S41
1491,2811-02,Kurator Gred S41
1492,2811-03,Juruarkib
1493,2812,Pustakawan Dan Profesional Maklumat Yang Berkaitan
1494,2812-01,Pustakawan Gred S41
1495,2812-05,Pustakawan
1496,2812-06,Ahli Bibliografi
1497,2812-09,Ahli Dokumentasi
1498,2812-10,Pengkatalog
1499,282,Profesional Sosial Dan Keagamaan
1500,2821,Ahli Ekonomi
1501,2821-01,Pegawai Ehwal Ekonomi Gred E41
1502,2821-02,Pegawai Eksekutif (Ekonomi) Gred 9
1503,2821-04,Ahli Ekonomi
1504,2821-09,Ahli Ekonomi Rumah Tangga
1505,2822,"Ahli Sosiologi, Ahli Antropologi Dan Profesional Yang Berkaitan"
1506,2822-01,Ahli Sosiologi
1507,2822-02,Ahli Antropologi
1508,2822-03,Ahli Arkeologi
1509,2822-04,Ahli Geografi
1510,2822-05,Ahli Penologi
1511,2822-06,Ahli Kriminologi
1512,2822-07,Ahli Etnologi
1513,2822-08,Ahli Sosiologi Patologi Sosial
1514,2823,"Ahli Falsafah, Sejarawan, Dan Ahli Sains Politik"
1515,2823-01,Ahli Falsafah
1516,2823-03,Sejarawan
1517,2823-04,Ahli Sains Politik
1518,2823-05,Ahli Genealogi
1519,2824,Ahli Psikologi
1520,2824-01,Pegawai Psikologi Gred S41
1521,2824-02,Pegawai Eksekutif (Psikologi) Gred 41
1522,2824-04,Ahli Psikologi Klinikal
1523,2824-05,Ahli Psikologi Pendidikan
1524,2824-06,Ahli Psikologi Organisasi
1525,2824-07,Juruterapi Psikologi
1526,2824-08,Ahli Psikologi Sukan
1527,2825,Profesional Kerja Sosial Dan Kaunseling
1528,2825-01,Pegawai Pembangunan Masyarakat Gred S41
1529,2825-02,Pekerja Sosial Profesional
1530,2825-03,Kaunselor
1531,2825-10,Pegawai Probation
1532,2825-11,Penganjur Kebajikan Wanita
1533,2825-12,Pegawai Belia dan Sukan Gred S41
1534,2825-13,Pegawai Antidadah Gred S41
1535,2826,Profesional Keagamaan
1536,2826-01,Pegawai Hal Ehwal Islam Gred S41
1537,2826-02,Pegawai Agama
1538,2826-03,Mufti
1539,2826-04,Imam
1540,2826-05,Kadi
1541,2826-06,Paderi Gereja
1542,2826-07,Sami Kuil
1543,2826-08,Profesional Keagamaan
1544,283,"Pengarang, Wartawan, Dan Ahli Linguistik"
1545,2831,Pengarang Dan Penulis Yang Berkaitan
1546,2831-11,Penyusun Iklan
1547,2831-18,Penyunting
1548,2831-20,Pembaca Pruf
1549,2831-23,Pegawai Penerbitan Gred N41
1550,2831-25,Penulis
1551,2832,Wartawan
1552,2832-01,Jurulapor Berita
1553,2832-02,Penulis Ruangan
1554,2832-03,Wartawan
1555,2832-04,Penyunting Politik
1556,2832-05,Penyunting Penyiaran Berita Radio Dan Televisyen
1557,2832-06,Penyunting Salinan
1558,2832-07,Penyunting Suratkhabar
1559,2832-08,Jurulapor Suratkhabar
1560,2832-11,Jurulapor Berita Televisyen/Radio
1561,2832-12,Penyunting Akhbar
1562,2832-13,Wartawan Mahkamah
1563,2832-14,Wartawan Gred S29
1564,2832-15,Pegawai Berita Gred S41
1565,2833,"Penterjemah, Jurubahasa, Dan Ahli Linguistik Lain"
1566,2833-02,Penterjemah
1567,2833-03,Jurubahasa
1568,2833-04,Ahli Filologi
1569,2833-05,Ahli Leksikografi
1570,2833-07,Penterjemah Sarikata
1571,2833-08,Perancang Bahasa Gred S41
1572,2833-09,Jurubahasa Gred LA29
1573,2833-10,Jurubahasa Gred LA19
1574,2833-12,Ahli Bahasa
1575,284,Artis Kreatif Dan Persembahan
1576,2841,Artis Visual
1577,2841-01,Pemahat
1578,2841-05,Pelukis
1579,2842,"Ahli Muzik, Penyanyi, Dan Komposer"
1580,2842-01,Ahli Muzik Gred B41
1581,2842-02,Ahli Muzikologi
1582,2842-03,Pemain Muzik
1583,2842-04,Adiguru - Makyong
1584,2842-05,Adiguru - Wayang Kulit
1585,2842-07,Orkestrator
1586,2842-08,Pemimpin Pancaragam
1587,2842-09,Pengarah Muzik
1588,2842-10,Komposer Muzik
1589,2842-11,Penyusun Muzik
1590,2842-13,Konduktor Orkestra
1591,2842-15,Penyanyi
1592,2842-16,Konduktor Muzik
1593,2842-17,Ahli Muzik Gred B43
1594,2842-18,Ahli Muzik Gred B47
1595,2842-19,Ahli Muzik Gred B51
1596,2842-20,Ahli Muzik Gred B53
1597,2843,Penari Dan Pereka Tari
1598,2843-01,Penari
1599,2843-02,Penari Kelab Malam
1600,2843-03,Pereka Tarian
1601,2843-04,Pengarah Tarian
1602,2843-05,Penyusun Tarian
1603,2844,"Pengarah Dan Penerbit Filem, Pementasan Dan Yang Berkaitan"
1604,2844-01,Penerbit Rancangan Gred B41
1605,2844-02,Penerbit Animasi
1606,2844-03,Penerbit Multimedia
1607,2844-05,Pengarah Fotografi Filem
1608,2844-06,Pengarah Pentas
1609,2844-12,Penerbit Pementasan
1610,2844-15,Pengarah Dokumentari
1611,2844-16,Pengarah Fotografi
1612,2844-17,Pengarah Teknikal Televisyen atau Radio
1613,2844-18,Penerbit Teknikal
1614,2844-19,Penerbit Rancangan Gred B43
1615,2844-20,Penerbit Rancangan Gred B47
1616,2844-21,Penerbit Rancangan Gred B51
1617,2844-22,Penerbit Rancangan Gred B53
1618,2845,Pelakon
1619,2845-01,Pelakon
1620,2845-02,Artis Parodi
1621,2845-03,Tukang Cerita
1622,2845-04,Artis Mime
1623,2846,"Juruhebah Radio, Televisyen, Dan Media Lain"
1624,2846-01,Pemutar Lagu
1625,2846-02,Juruhebah Radio
1626,2846-03,Juruhebah Televisyen
1627,2846-07,Pengulas
1628,2847,"Badut, Ahli Silap Mata, Akrobat Dan Profesional Yang Berkaitan"
1629,2847-01,Akrobat
1630,2847-02,Ahli Peliuk Badan
1631,2847-03,Ahli Silap Mata
1632,2847-04,Badut
1633,2847-05,Mimik
1634,2847-08,Penghibur Sarkas Haiwan
1635,2847-09,Penjugel
1636,2847-10,Dalang
1637,2847-11,Ahli Komedi
1638,2848,Penjaga Dan Jurulatih Haiwan
1639,2848-01,"Jurulatih Di Zoo, Taman Burung dan Akuatik"
1640,2849,Artis Kreatif Dan Persembahan Yang Tidak Dikelaskan Di Mana-Mana
1641,2849-01,Pegawai Kebudayaan Gred B41
1642,2849-02,Pegawai Kebudayaan Gred B43
1643,2849-03,Pegawai Kebudayaan Gred B47
1644,2849-04,Pegawai Kebudayaan Gred B51
1645,2849-05,Pegawai Kebudayaan Gred B53
1646,2849-06,Penceramah Bebas
1647,29,Profesional Badan Pengawalaturan
1648,291,Profesional Badan Pengawalaturan
1649,2911,Profesional Inspektor Kastam Dan Sempadan
1650,2911-01,Penguasa Kastam Gred WK41
1651,2911-02,Penguasa Imigresen Gred KP41
1652,2911-03,Perunding Imigresen
1653,2911-06,Pegawai Kastam dan Eksais
1654,2912,Profesional Pegawai Percukaian Dan Eksais
1655,2912-01,Pegawai Eksekutif (Penaksiran) Gred 41
1656,2912-02,Pegawai Eksekutif Penaksiran
1657,2912-03,Pegawai Penilai
1658,2912-04,Pegawai Eksais
1659,2912-05,Pegawai Cukai
1660,2912-06,Pegawai Eksekutif (Penaksiran) Gred 48
1661,2913,Profesional Pegawai Faedah Sosial Kerajaan
1662,2913-01,Pegawai Faedah Sosial
1663,2913-03,Pegawai Eksekutif (PERKESO) Gred 23
1664,2914,Profesional Pegawai Pelesenan Kerajaan
1665,2914-01,Pegawai Penguatkuasa Gred KP41
1666,2914-02,Pegawai Eksekutif (Penguatkuasaan) Gred L5
1667,2914-03,Pegawai Pelesenan
1668,2915,Inspektor Dan Detektif Polis Profesional
1669,2915-01,Pegawai Kanan Polis Gred YA13
1670,2916,Profesional Pegawai Sivil
1671,2916-01,Pegawai Pertahanan Awam Gred KP41
1672,2916-02,Pegawai Pertahanan Awam
1673,2916-03,Pegawai Perhubungan Perusahaan Gred S41
1674,2916-04,Pegawai Keselamatan Gred KP41
1675,2916-05,Pegawai Eksekutif (Keselamatan) Gred 41
1676,2916-06,Penguasa Bomba Gred KB41
1677,2916-07,Penguasa Penjara Gred KA41
1678,2916-08,Pegawai Penguatkuasa Maritim Gred T13
1679,2919,Profesional Badan Pengawalaturan Yang Tidak Dikelaskan Di Mana-Mana
1680,2919-01,Pegawai Bilik Kawalan
1681,2919-02,Pegawai Pendaftaran Gred KP41
1682,2919-03,Pegawai Siasatan Gred P41
1683,2919-04,Pegawai Siasatan Gred P43
1684,2919-05,Pegawai Siasatan Gred P47
1685,2919-06,Pegawai Siasatan Gred P51
1686,2919-07,Pegawai Siasatan Gred P53
1687,2919-08,Pegawai Integriti
1688,2919-09,Pemeriksa Poligraf
1690,31,Profesional Bersekutu Sains Dan Kejuruteraan
1691,311,Juruteknik Sains Fizik Dan Kejuruteraan
1692,3111,Juruteknik Sains Kimia Dan Fizik
1693,3111-01,Pembantu Makmal Gred C19
1694,3111-02,Pembantu Penyelidik Gred Q19
1695,3111-04,Juruteknik Fizik
1696,3111-05,Juruteknik Geofizik
1697,3111-06,Juruteknik Kimia
1698,3111-07,Juruteknik Makmal Sains Fizik
1699,3111-08,Juruteknik Sains Fizik
1700,3111-09,Pembantu Makmal Fizik
1701,3111-10,Pembantu Makmal Kimia
1702,3111-11,Pembantu Makmal Sains Fizik
1703,3111-12,Juruteknik Tanih
1704,3111-13,Pembantu Makmal Tanih
1705,3111-14,Juruteknik Meteorologi
1706,3111-15,Pembantu Meteorologi
1707,3111-16,Juruteknik Geologi
1708,3111-17,Pembantu Makmal Geologi
1709,3111-18,Konduktor Penyelidikan Makmal Ladang
1710,3111-19,Juruteknik Astronomi
1711,3111-20,Juruteknik Oseanografi
1712,3111-21,Pembantu Makmal
1713,3111-22,Juruteknik Aerologik
1714,3111-23,Pengawal Runtuhan
1715,3111-24,Pemproses Data Iklim
1716,3111-25,Juruteknik Perkhidmatan Iklim
1717,3111-26,Inspektor Meteorologi
1718,3111-27,Pembantu Stesen Kaji Cuaca
1719,3111-28,"Juruteknik Operasi, Stesen Kaji Cuaca"
1720,3111-29,Pemerhati Keadaan Cuaca
1721,3111-30,Pembantu Geosains Gred C19
1722,3111-31,Pembantu Makmal Gred K1
1723,3111-32,Juruteknik Makmal
1724,3111-33,Penolong Pegawai Meteorologi Gred C29
1725,3111-34,Penolong Pegawai Geosains Gred C29
1726,3111-36,Penolong Pegawai Sains Gred C29
1727,3111-37,Penolong Pegawai Penyelidik Gred Q29
1728,3111-38,Juruteknik Proses Kimia
1729,3111-39,Juruteknik Sains Forensik
1730,3111-40,Pembantu Ahli Kimia
1731,3112,Juruteknik Kejuruteraan Awam
1732,3112-01,Juruteknik Instrumen Perindustrian
1733,3112-02,Juruteknik Kejuruteraan Awam
1734,3112-03,Pembantu Kejuruteraan Awam
1735,3112-04,Penganggar Kejuruteraan Awam
1736,3112-05,Penyelia Kerja
1737,3112-06,Pembantu Teknik Ukur
1738,3112-07,Pembantu Ukur
1739,3112-08,Pereka Kejuruteraan
1740,3112-09,"Penyelia, Kejuruteraan Awam"
1741,3112-10,Juruteknik Mesin Penggerudian Terowong
1742,3112-11,Inspektor Bangunan
1743,3112-12,Juruteknik Geoteknik
1744,3112-13,Inspektor Kebakaran
1745,3112-14,Juruteknik Ukur
1746,3112-15,Juruteknik Binaan
1747,3112-16,Jurubina Bangunan
1748,3112-17,Juruteknik Instrumen Proses
1749,3112-18,Pembantu Ukur Bangunan
1750,3112-19,Penolong Jurutera Gred JA29
1751,3112-20,Penolong Pegawai Eksekutif (Kejuruteraan) Gred 31
1752,3112-21,Penolong Pegawai Eksekutif (Juruteknik) Gred L8
1753,3112-22,Penolong Pegawai Eksekutif (Kejuruteraan) Gred L8
1754,3112-23,Penolong Jurutera
1755,3112-24,Penolong Pegawai Eksekutif Kejuruteraan
1756,3112-25,Penolong Jurutera Awam
1757,3112-26,Juruteknik Operasi
1758,3112-27,Juruteknik Penyelenggaraan Kemudahan Bangunan Hijau
1759,3112-28,Pembantu Juruteknik Penyelenggaraan Kemudahan Bangunan Hijau
1760,3112-29,Juruteknik Perobohan Bangunan
1761,3112-30,Pembantu Jurutera Penyelenggaraan
1762,3112-31,Juruteknik Ukur Bahan
1763,3112-32,Penolong Juruukur Bahan Gred JA29
1764,3112-33,Pembantu Juruukur Bahan
1765,3112-34,Penolong Jurutera Gred 19
1766,3112-35,Penolong Juruukur Bahan Gred 19
1767,3112-36,Pembantu Teknik Ukur Bangunan Gred 19
1768,3112-37,Penolong Juruukur Bangunan Gred J29
1769,3112-38,Ketua Penyelenggara Kebakaran
1770,3112-39,Juruteknik Penyelenggara Kebakaran
1771,3112-40,Juruteknik Kejuruteraan
1772,3112-41,Penolong Teknikal
1773,3112-42,Penarik Rantai
1774,3113,Juruteknik Kejuruteraan Elektrik
1775,3113-01,Juruteknik Kejuruteraan Elektrik
1776,3113-02,Juruteknik Pemotongan Wayar
1777,3113-03,Juruteknik Kejuruteraan Elektrik Voltan Tinggi
1778,3113-04,Pembantu Kejuruteraan Elektrik
1779,3113-05,Pembantu Teknik Elektrik
1780,3113-06,Penyelia Elektrik
1781,3113-07,Penyelia Elektrik Dan Peralatan
1782,3113-08,Pembantu Kejuruteraan Elektrik Sistem Voltan Tinggi
1783,3113-09,Juruteknik Kejuruteraan Elektrik Transmisi Kuasa Elektrik
1784,3113-10,Penganggar Kejuruteraan Elektrik
1785,3113-11,Juruteknik Elektrik Kenderaan
1786,3113-12,Penyambung Kabel Gentian Optik
1787,3113-14,Juruteknik Elektrik Voltan Tinggi
1788,3113-15,Juruteknik Nyahpepijat
1789,3113-16,Penolong Jurutera Elektrik
1790,3114,Juruteknik Kejuruteraan Elektronik
1791,3114-01,Juruteknik Kejuruteraan Elektronik
1792,3114-02,Penganggar Kejuruteraan Elektronik
1793,3114-03,Pembantu Kejuruteraan Elektronik
1794,3114-04,Juruteknik Reka Bentuk Elektronik
1795,3114-05,Juruteknik Elektronik Fabrikasi Wafer
1796,3115,Juruteknik Kejuruteraan Mekanikal
1797,3115-01,Juruteknik Kejuruteraan Aeroangkasa (Mekanikal)
1798,3115-02,Juruteknik Kejuruteraan Aeronautik
1799,3115-03,Juruteknik Kejuruteraan Automobil
1800,3115-09,Juruteknik Kejuruteraan Mekanikal (Pertanian)
1801,3115-12,Pembantu Kejuruteraan Aeronautik (Mekanikal) Dan Kelengkapan
1802,3115-13,Pembantu Kejuruteraan Automobil
1803,3115-14,Pembantu Kejuruteraan Mekanikal
1804,3115-15,Penganggar Kejuruteraan Mekanikal
1805,3115-16,Ketua Dok Kering
1806,3115-17,Ketua Dok Galian
1807,3115-18,Juruteknik Kejuruteraan Marin
1808,3115-19,Pembantu Kejuruteraan Marin
1809,3115-21,Juruteknik Hos Hidraulik
1810,3115-23,Juruteknik Automasi Robot
1811,3115-24,Juruteknik Mekatronik
1812,3115-25,Juruteknik Mesin
1813,3115-26,Juruteknik Kejuruteraan Aeronotik
1814,3115-27,Juruteknik CNC (Kawalan Berangka Komputer)
1815,3115-28,Juruteknik Kimpalan
1816,3115-29,Juruteknik Pembuatan Logam
1817,3115-31,Orang Yang Kompeten (OYK) - Juruteknik Higien 1
1818,3115-33,Penyelia CNC (Kawalan Berangka Komputer)
1819,3115-34,Pemeriksa Kereta Motor Gred AB19
1820,3115-35,Penolong Jurutera Automasi Perindustrian
1821,3115-36,Penolong Jurutera CAD/CAM (Rekabentuk Dan Pembuatan Berbantu Komputer)
1822,3115-37,Penolong Jurutera Mekatronik
1823,3115-38,Juruteknik CAD/CAM (Rekabentuk Dan Pembuatan Berbantu Komputer)
1824,3115-44,Pendraf AutoCad
1825,3115-45,Pakar Penanda
1826,3115-46,Pemeriksa Kereta Motor Gred AB29
1827,3115-47,Juruteknik Robotik
1828,3115-48,Juruteknik Peralatan
1829,3115-49,Penolong Jurutera Peralatan
1830,3115-50,Penolong Jurutera Kimpalan
1831,3115-51,Juruteknik Kalibrasi
1832,3115-52,Orang Yang Kompeten (OYK) - Juruteknik Higien 2
1833,3115-53,Pereka AutoCad
1834,3115-54,Penyelia Pneumatik
1835,3115-55,Juruteknik Pembaikan Dan Penyelenggaraan (R&M)
1836,3115-56,Juruteknik Kejuruteraan Optik
